World,China,United States,India,Indonesia,Japan,Russia,Brazil,Germany,Iran,Canada,Democratic Republic of the Congo,South Korea,Saudi Arabia,Mexico,South Africa,Australia,Turkey,United Kingdom,Malaysia,Italy,Poland,Thailand,France,Egypt,Vietnam,Spain,Kazakhstan,Pakistan,Argentina,United Arab Emirates,Iraq,Venezuela,Nigeria,Ukraine,Colombia,Netherlands,Algeria,Philippines,Peru,Myanmar,Uzbekistan,Bangladesh,Zimbabwe,Czech Republic,Belgium,Qatar,Bolivia,Kuwait,Tanzania,Oman,Turkmenistan,Greece,Ecuador,Morocco,Angola,Israel,Mozambique,Libya,Austria,Paraguay,Romania,Finland,Portugal,Botswana,Papua New Guinea,Hungary,Ethiopia,Singapore,Solomon Islands,Serbia,Cameroon,Sudan,Zambia,Cambodia,Belarus,C̫te d'Ivoire,Switzerland,Ireland,Denmark,Slovakia,Bahrain,Azerbaijan,Chile,Burkina Faso,Syria,Lebanon,Laos,Tunisia,Nicaragua,Jordan,Mongolia,Chad,Dominican Republic,Sri Lanka,Uganda,Cuba,New Zealand,Guatemala,North Korea,Bosnia and Herzegovina,Sweden,Benin,Norway,Somalia,Estonia,Trinidad and Tobago,Guyana,Guinea,Honduras,Nepal,Namibia,Liberia,Panama,Slovenia,Central African Republic,Senegal,Republic of Congo,Madagascar,Croatia,Suriname,Gabon,Lithuania,Kenya,Equatorial Guinea,South Sudan,Malawi,Georgia,Yemen,Luxembourg,Moldova,Jamaica,El Salvador,Kyrgyzstan,Afghanistan,Brunei,Macedonia,Bulgaria,Tajikistan,Cyprus,Belize,Mali,Armenia,Albania,Latvia,Uruguay,Sierra Leone,Mauritius,Burundi,Haiti,Niger,Togo,Mauritania,Rwanda,Lesotho,Montenegro,Bahamas,Iceland,Maldives,Guinea-Bissau,Malta,Barbados,Eritrea,Gambia,Timor-Leste,Eswatini,Costa Rica,Seychelles,Cape Verde,Antigua and Barbuda,Djibouti,Andorra,Samoa,Sao Tome and Principe,Comoros,Grenada,Palau,Saint Vincent and the Grenadines,Saint Kitts and Nevis,Saint Lucia,Marshall Islands,Tonga,Vanuatu,Dominica,Micronesia,Liechtenstein,Cook Islands,Kiribati,Bhutan,Nauru,Tuvalu,Niue,Fiji,Ghana
22849.92,1823.96,4426.4,341.32,832.39,1016.89,1790.34,1236.73,904.38,158.83,483.99,370.89,206.81,166.39,290.01,253.94,313.95,122.28,545.73,170.4,370.74,337.06,100.74,331.69,86.41,-53.88,172.32,236.74,69.1,144.16,55.4,64.71,248.17,113.84,640.09,141.35,149.83,68.47,43.25,80.38,146.17,116.97,34.13,26.94,140.76,105.4,12.54,81.99,29.23,54.02,11.89,44.65,74.69,52.17,16.83,16.6,33.78,49.47,36.09,44.8,44.1,173.34,23.44,42.53,44.02,31.35,69.04,28.6,29.67,4.07,58.99,55.76,26.5,20.02,5.43,66.9,63.0,41.87,28.53,52.43,45.38,10.74,55.94,13.05,12.85,28.89,5.63,11.02,12.83,21.47,9.93,17.14,8.01,0.59,8.47,16.62,24.59,-3.58,20.05,129.72,27.22,55.21,15.37,14.15,18.08,33.23,14.19,8.15,11.78,7.99,-0.83,,13.85,8.68,4.13,14.12,7.21,10.27,29.65,19.48,4.98,7.74,32.89,1.78,3.89,6.94,8.86,15.22,6.64,10.68,30.23,7.83,3.46,21.74,0.58,5.43,8.59,51.81,11.05,4.49,6.89,0.42,19.98,6.24,5.84,-9.39,3.69,1.14,5.58,1.09,6.27,3.64,1.24,3.43,1.39,-0.34,1.78,1.96,0.16,1.66,2.31,0.98,0.43,0.72,0.46,0.82,5.33,0.15,-0.41,0.21,0.33,0.41,0.22,0.06,0.12,0.11,0.0,0.03,0.11,0.03,0.0,0.08,0.07,0.12,0.0,0.22,0.02,0.02,-6.48,0.13,0.0,0.01,-1.81,12.67
23056.4,1952.78,4389.5,386.17,846.23,1029.99,1766.89,1243.65,881.44,197.26,477.81,369.45,231.61,186.61,308.41,248.61,315.07,126.88,559.38,177.54,369.55,338.47,109.85,355.84,88.98,-53.98,179.52,246.71,68.35,149.64,61.5,46.63,247.44,121.56,603.4,143.07,155.95,67.51,42.77,79.5,146.1,117.79,33.44,28.7,127.46,110.05,14.61,82.08,35.73,53.99,16.1,37.79,74.89,52.73,18.56,16.8,34.5,49.29,33.32,48.95,44.05,143.08,24.01,44.23,43.95,31.35,66.18,28.63,31.24,4.07,49.29,55.5,25.94,20.16,5.47,63.29,63.09,44.21,29.05,63.07,38.5,10.34,65.45,12.19,12.86,31.44,7.05,11.05,13.5,21.46,9.78,18.93,8.02,0.96,8.62,16.64,16.6,-3.27,20.16,123.71,24.7,56.1,15.33,12.21,18.06,29.58,13.08,8.12,11.8,8.0,-0.59,11.68,13.77,9.12,3.34,14.11,7.22,12.51,29.71,13.78,5.26,7.96,34.96,1.54,3.9,6.94,8.93,7.24,8.5,11.14,24.3,7.76,4.15,19.4,0.35,4.9,8.38,36.85,10.21,5.0,6.99,0.43,20.82,4.3,4.27,-8.87,3.7,1.23,5.62,1.07,6.24,3.59,1.26,3.38,1.45,-0.34,1.88,1.93,0.16,1.66,2.21,0.98,0.43,0.73,0.46,0.81,5.53,0.18,-0.41,0.22,0.34,0.41,0.22,0.06,0.12,0.12,0.0,0.04,0.11,0.04,0.0,0.09,0.07,0.12,-0.03,0.23,0.02,0.02,-6.44,0.13,0.0,0.01,-1.81,12.44
22988.29,2068.77,4461.62,409.09,855.3,1041.79,1630.98,1247.13,841.83,212.99,490.88,369.19,253.77,199.35,312.07,245.11,318.72,132.88,542.02,183.09,367.75,330.22,119.61,343.81,91.89,-52.98,189.79,254.83,74.97,151.67,59.64,67.26,249.79,132.4,526.12,145.7,154.74,66.73,46.14,80.43,146.26,112.28,34.43,28.87,124.7,108.42,14.68,83.13,22.99,53.99,14.9,28.1,77.25,53.78,20.37,16.64,36.83,49.45,30.3,44.19,44.51,126.69,21.15,48.24,44.52,31.36,59.63,27.81,32.13,4.08,45.99,55.38,25.67,20.13,5.52,54.78,63.07,44.25,29.13,57.35,36.66,12.27,43.05,14.12,12.87,30.73,7.03,11.1,14.26,21.77,11.92,17.03,8.03,2.35,9.88,16.65,11.27,-1.49,20.95,111.05,19.22,58.61,15.35,15.4,18.03,21.97,12.01,8.05,11.83,8.28,-0.54,11.78,13.8,9.63,3.42,14.11,7.46,12.45,29.72,14.1,5.27,8.22,20.67,1.6,3.9,6.94,8.93,1.81,9.13,10.83,20.02,8.51,4.44,12.78,-0.96,5.1,8.59,33.38,7.71,5.36,7.06,0.45,11.02,2.43,1.01,-8.47,3.8,1.3,5.59,0.97,6.2,3.41,1.29,3.38,1.5,-0.34,2.53,1.96,0.23,1.66,2.17,1.18,0.87,0.73,0.46,0.7,6.61,0.18,-0.4,0.29,0.34,0.41,0.22,0.05,0.13,0.16,0.2,0.07,0.15,0.13,0.08,0.08,0.06,0.14,0.08,0.23,0.02,0.02,-6.41,0.12,0.01,0.01,-1.78,12.96
23124.0,2294.12,4581.76,431.31,869.88,1033.99,1447.33,1253.64,836.08,210.86,487.56,369.14,284.2,206.21,323.14,252.71,322.72,138.69,529.56,185.4,362.41,330.86,134.23,324.68,91.43,-48.04,175.41,217.53,81.79,155.35,62.15,88.63,255.18,130.4,450.79,148.27,159.74,74.05,49.87,81.29,146.79,112.94,35.18,27.48,121.54,106.19,15.49,84.14,29.24,54.05,14.08,26.63,77.17,52.71,21.08,17.17,40.48,49.65,30.84,44.33,44.85,118.34,22.34,47.26,44.47,31.39,60.01,28.24,37.32,4.09,40.3,59.52,24.33,19.8,5.55,43.24,63.25,41.99,29.26,59.63,34.89,13.07,51.94,14.94,12.88,30.09,10.34,11.11,15.6,21.74,12.2,16.02,8.04,2.25,9.72,16.65,9.26,-1.98,21.23,103.07,16.66,58.36,15.41,16.98,17.99,16.52,12.56,8.06,11.86,8.45,-0.36,11.98,13.82,9.79,4.16,14.12,7.39,12.43,29.75,14.64,5.28,8.31,16.42,1.51,4.82,6.94,9.02,-2.17,8.12,11.03,17.11,8.68,5.0,9.09,-1.03,5.38,8.89,33.91,5.19,5.62,7.02,0.46,5.17,2.26,-1.2,-8.75,3.81,1.45,5.6,0.77,6.27,3.3,1.31,3.38,1.54,-0.34,2.1,2.0,0.2,1.67,2.81,0.99,1.07,0.73,0.46,0.6,6.65,0.19,-0.4,0.25,0.34,0.41,0.23,0.05,0.13,0.15,0.2,0.08,0.14,0.13,0.09,0.09,0.06,0.13,0.08,0.24,0.02,0.03,-6.44,0.11,0.01,0.01,-1.79,13.07
23260.29,2414.5,4654.52,466.79,881.31,1087.22,1238.41,1261.19,824.87,240.77,503.69,369.0,310.79,218.79,348.29,258.29,329.03,136.99,524.43,191.2,357.76,326.6,148.39,319.62,86.03,-45.54,185.76,195.24,84.29,158.12,68.29,99.59,255.37,126.52,367.14,148.92,158.9,72.12,53.9,82.11,147.62,106.38,36.15,26.36,115.27,110.99,16.25,85.35,33.73,54.04,13.81,32.87,78.81,53.6,23.24,16.96,43.34,49.45,35.91,44.81,45.37,115.79,28.8,48.77,44.3,31.23,59.41,28.56,39.19,4.1,36.73,60.14,25.8,19.43,5.64,31.66,63.39,41.13,30.45,63.53,32.27,13.37,46.0,18.01,12.88,31.21,11.29,11.14,15.73,22.06,12.99,14.5,8.05,3.87,10.4,16.56,10.79,-1.61,21.56,95.11,6.42,60.35,15.4,18.63,17.98,16.08,13.1,8.38,11.9,8.8,0.18,12.2,13.82,10.03,4.2,14.12,7.49,12.21,29.97,13.98,5.28,8.05,15.5,1.51,4.83,6.94,9.04,-7.82,8.48,10.2,13.83,8.74,5.54,5.52,-1.08,5.66,8.59,31.76,3.06,5.86,7.01,0.47,2.87,2.33,-2.74,-8.97,3.83,1.49,5.6,0.26,6.25,3.57,1.34,3.36,1.58,-0.34,2.04,2.11,0.2,1.67,2.51,1.03,1.17,0.73,0.46,0.91,7.32,0.21,-0.4,0.25,0.33,0.41,0.23,0.06,0.13,0.16,0.2,0.09,0.15,0.14,0.09,0.09,0.06,0.13,0.08,0.22,0.02,0.03,-6.42,0.11,0.01,0.01,-1.79,13.34
23890.22,2735.48,4708.31,519.98,909.21,1097.1,1190.39,1279.97,822.15,251.99,514.62,368.95,341.87,222.4,328.84,270.47,339.4,151.32,513.33,197.88,381.89,326.79,166.83,327.43,91.46,-41.95,197.88,171.65,90.78,158.13,72.64,95.97,261.98,127.53,350.76,151.59,165.81,73.63,64.21,85.15,148.94,95.33,39.2,25.89,115.74,110.65,17.02,84.64,33.78,54.86,15.6,33.43,81.91,56.35,24.3,21.05,46.75,49.53,37.49,47.71,45.81,121.43,24.98,52.16,44.41,33.49,59.07,28.9,38.83,4.11,42.42,59.97,25.82,19.42,5.68,24.64,63.77,41.98,31.05,60.26,32.94,13.54,44.19,20.89,12.9,33.02,13.32,11.17,16.12,22.19,13.6,14.45,8.06,4.58,10.45,16.83,12.25,-1.5,22.48,89.78,6.63,60.1,15.45,18.05,17.95,14.48,13.24,8.89,11.93,9.42,0.29,12.33,13.82,10.35,5.07,14.13,7.65,12.33,30.18,14.55,5.36,8.21,14.42,2.02,4.83,7.01,9.05,-10.09,9.87,8.04,11.84,9.05,6.04,3.58,-1.14,6.03,8.57,32.94,2.54,5.73,7.02,0.47,3.64,2.14,-3.89,-8.54,3.6,1.53,5.72,0.97,6.23,3.64,1.4,3.37,1.61,-0.34,2.08,2.02,0.26,1.67,2.38,1.07,1.23,0.74,0.46,0.87,7.28,0.2,-0.39,0.27,0.33,0.43,0.23,0.06,0.14,0.17,0.2,0.1,0.15,0.17,0.09,0.1,0.07,0.15,0.09,0.23,0.02,0.03,-6.38,0.11,0.01,0.01,-1.78,13.6
24214.92,2715.5,4864.46,555.6,772.38,1110.51,1159.83,1301.37,851.78,259.83,528.32,368.97,366.44,234.09,348.39,280.26,349.99,168.5,533.7,206.21,377.63,342.0,185.34,343.1,96.36,-38.3,187.41,149.08,93.87,170.88,75.81,98.08,275.67,133.18,297.56,151.38,175.38,71.99,69.9,87.49,148.08,96.3,39.47,25.26,117.3,115.53,17.91,84.44,32.93,55.19,15.82,29.69,81.83,59.06,23.99,21.68,48.71,49.52,39.4,51.43,45.75,124.65,31.47,50.2,44.13,33.56,60.1,29.2,39.81,4.12,49.78,59.2,25.61,19.04,5.78,25.62,64.42,42.54,32.51,73.65,32.74,14.17,38.8,26.69,12.98,36.13,14.14,11.25,16.68,22.35,13.87,12.87,8.07,5.46,12.98,16.94,14.2,-0.39,22.31,80.36,7.44,65.52,16.05,18.99,17.93,15.46,13.38,9.22,12.0,9.46,0.35,12.48,13.84,10.4,5.89,14.13,7.81,12.14,30.12,14.49,5.44,8.32,14.89,2.62,5.34,7.01,9.05,-11.9,10.08,8.12,10.1,9.41,5.47,4.75,-1.21,6.07,10.11,33.3,2.27,6.09,6.92,0.49,2.71,2.16,-3.87,-7.78,3.64,1.59,5.74,1.13,6.31,4.02,1.46,3.37,1.64,-0.34,1.97,2.28,0.28,1.66,2.32,1.07,1.31,0.75,0.46,0.65,6.99,0.24,-0.37,0.28,0.34,0.45,0.24,0.06,0.14,0.19,0.2,0.1,0.15,0.18,0.09,0.08,0.09,0.13,0.09,0.23,0.02,0.03,-6.33,0.1,0.01,0.01,-1.72,13.98
25292.92,2779.27,5129.29,600.38,1484.56,1098.26,1052.5,1319.99,819.93,271.0,543.72,368.92,388.04,214.93,371.54,295.2,357.18,176.65,511.37,214.34,381.0,331.29,188.5,334.26,103.55,-32.4,205.91,125.99,97.36,171.64,81.45,115.65,280.97,129.54,279.68,156.12,167.94,73.41,77.73,87.7,147.66,97.66,41.6,24.23,115.35,112.72,19.45,84.59,34.04,55.02,17.24,29.94,82.84,60.11,25.43,22.0,50.94,49.64,38.94,50.75,46.14,114.12,29.53,52.39,44.28,33.89,58.62,29.38,39.45,4.13,54.36,59.45,26.55,19.56,5.87,26.24,65.37,41.28,33.68,64.06,32.84,14.41,37.89,33.19,13.08,36.48,16.14,11.29,17.26,22.56,14.37,12.71,8.09,7.24,12.97,17.0,16.58,1.93,22.67,73.88,11.75,59.26,16.23,20.75,17.9,15.09,13.85,9.47,12.05,9.6,0.59,12.53,13.86,10.63,6.32,14.13,8.1,12.64,30.24,16.2,5.47,8.44,14.57,2.29,5.46,7.02,9.1,-12.75,10.85,7.63,9.28,9.57,6.4,4.67,-1.29,6.58,9.04,31.61,2.55,6.18,7.01,0.53,3.47,1.67,-4.34,-7.68,3.57,1.6,5.76,1.34,6.32,3.43,1.45,3.39,1.67,-0.34,1.77,2.17,0.34,1.68,2.47,1.17,1.26,0.76,0.46,0.98,6.96,0.35,-0.37,0.3,0.35,0.47,0.24,0.06,0.14,0.2,0.2,0.11,0.16,0.18,0.09,0.09,0.09,0.16,0.1,0.24,0.02,0.03,-6.24,0.1,0.01,0.01,-1.74,14.18
24895.32,2882.75,5172.06,618.73,907.96,1055.5,1043.96,1329.24,812.12,272.42,552.1,369.04,323.23,230.41,395.43,302.8,378.07,176.91,514.07,233.95,391.85,305.04,167.52,356.3,108.86,-27.51,213.54,129.49,98.21,177.49,83.85,81.32,277.56,122.63,260.74,156.64,168.37,75.11,77.33,86.4,149.01,112.93,41.77,24.48,109.48,115.49,20.81,84.92,39.87,54.83,17.28,30.59,86.2,59.95,26.15,21.65,51.48,49.6,39.9,51.2,46.3,100.09,26.22,57.06,44.91,34.75,58.98,29.59,37.94,4.13,54.38,59.63,26.1,19.46,6.11,24.49,65.46,42.78,36.2,60.08,31.97,15.51,37.81,34.04,13.14,39.38,16.27,11.32,18.0,23.05,14.61,12.75,8.1,9.34,13.24,17.16,16.12,1.45,24.41,67.3,14.02,60.26,16.29,22.47,17.87,14.59,14.18,9.51,12.13,10.24,0.73,12.58,13.9,11.71,6.1,14.19,8.48,12.54,30.46,17.62,5.49,8.54,15.35,2.81,5.45,7.03,9.08,-13.28,11.73,6.95,8.35,10.12,6.75,5.01,-1.34,8.74,9.88,28.83,2.8,6.48,7.01,0.77,3.6,1.99,-4.72,-7.45,3.61,1.77,5.79,1.38,6.37,3.86,1.39,3.39,1.71,-0.34,2.27,2.17,0.31,1.66,2.37,1.27,1.05,0.77,0.46,1.01,7.48,0.44,-0.35,0.33,0.35,0.49,0.24,0.06,0.15,0.23,0.2,0.15,0.18,0.23,0.1,0.1,0.08,0.16,0.1,0.25,0.02,0.03,-6.25,0.1,0.01,0.01,-1.76,15.98
24957.3,2799.84,5191.66,683.0,849.42,1090.14,1081.87,1339.1,782.33,306.0,560.63,369.03,358.5,234.53,382.78,284.79,383.46,175.93,511.41,222.59,398.49,295.56,174.18,350.09,114.26,-27.25,235.67,117.43,106.8,178.51,86.0,64.47,272.6,120.65,257.09,148.44,163.09,78.12,74.84,88.59,150.15,114.15,42.46,26.22,102.5,111.59,22.95,84.28,43.71,54.67,20.43,35.77,86.47,57.29,27.7,22.94,52.96,49.59,38.06,49.58,46.3,86.2,25.64,63.66,45.13,36.0,59.53,29.6,38.42,4.14,37.87,59.42,26.66,19.1,6.08,22.42,67.32,43.06,37.81,57.29,31.22,15.45,37.2,36.41,13.19,38.61,17.05,11.35,18.92,23.08,14.63,12.81,8.12,10.52,14.12,17.19,17.0,2.82,24.33,72.93,13.77,59.21,16.41,24.3,17.85,13.7,14.29,9.68,12.2,10.31,1.81,12.54,13.81,11.0,5.54,14.2,8.85,12.28,30.58,17.65,5.58,8.47,12.86,3.13,5.65,7.06,9.13,-13.75,13.17,7.31,7.05,10.41,6.69,3.77,-1.57,5.5,9.14,22.53,2.58,6.74,6.95,0.8,3.24,3.16,-5.24,-6.45,3.5,2.18,5.84,1.45,6.35,4.37,1.51,3.41,1.72,-0.34,2.23,2.13,0.43,1.68,2.41,1.3,1.08,0.79,0.46,1.09,7.5,0.52,-0.32,0.33,0.35,0.51,0.25,0.06,0.15,0.22,0.2,0.14,0.18,0.23,0.1,0.11,0.09,0.17,0.1,0.25,0.03,0.03,-6.25,0.09,0.01,0.01,-1.74,16.46
25637.87,2994.73,5357.88,719.07,795.62,1107.18,1115.29,1351.16,778.97,320.34,580.65,368.63,413.25,244.34,406.79,291.05,389.23,199.67,519.16,233.1,401.78,282.27,174.79,348.31,112.45,-22.17,250.68,113.85,106.42,176.25,84.54,74.44,279.51,122.06,248.7,150.83,163.75,79.17,75.59,88.18,150.72,120.9,43.87,24.1,113.72,113.27,21.73,84.31,47.15,55.08,22.54,36.85,93.53,57.94,28.39,22.67,56.97,49.78,39.87,50.06,45.56,89.58,24.44,63.11,45.33,37.59,56.26,29.97,42.53,4.15,41.07,59.65,27.03,19.21,6.13,20.46,66.99,42.24,40.15,53.04,28.64,15.88,38.43,32.46,13.31,38.86,15.69,11.41,20.01,23.3,16.27,13.21,8.13,11.39,15.55,17.19,17.38,3.6,25.54,78.18,17.21,55.31,16.52,19.02,17.84,13.38,14.44,9.63,12.24,10.57,1.93,12.5,13.85,11.27,5.18,14.2,8.95,12.04,30.57,17.19,4.94,8.32,11.12,3.88,6.18,7.06,9.06,-13.5,13.89,8.03,6.4,10.5,6.71,3.65,-1.62,5.75,8.82,21.56,2.23,7.0,6.97,1.41,3.69,3.36,-5.77,-7.78,3.74,2.41,5.87,1.54,6.34,3.93,1.51,3.43,1.75,-0.34,2.14,2.24,0.46,1.63,2.13,1.24,1.07,0.77,0.46,1.0,7.41,0.58,-0.29,0.33,0.37,0.52,0.25,0.06,0.16,0.21,0.21,0.12,0.19,0.22,0.1,0.1,0.09,0.19,0.1,0.24,0.03,0.04,-6.24,0.09,0.01,0.01,-1.69,15.62
25726.42,3194.5,5347.79,958.86,631.16,1073.16,721.85,1420.6,829.38,306.74,808.34,368.5,410.4,248.6,316.03,326.95,374.35,154.82,533.53,224.83,401.86,222.2,138.28,310.56,124.84,73.93,275.62,110.36,106.88,219.67,96.26,84.25,224.46,131.14,276.38,138.97,168.59,72.36,74.05,91.18,131.84,111.13,48.44,24.84,115.78,115.34,23.49,64.78,50.8,55.24,25.28,37.92,95.53,51.91,32.4,48.53,57.94,50.34,41.43,61.75,59.92,91.42,45.79,61.97,45.17,37.87,58.7,35.42,42.22,1.94,10.58,47.65,27.92,19.25,5.73,27.14,32.84,42.83,42.79,53.84,30.18,16.39,36.91,11.78,17.47,40.62,16.9,13.17,20.34,27.56,16.25,13.06,17.2,17.03,13.35,17.19,16.94,8.9,23.53,76.08,14.11,40.95,12.55,11.91,17.86,13.87,15.57,10.32,12.67,11.21,-0.67,13.02,13.89,10.62,3.85,14.22,10.82,11.98,23.69,18.37,5.32,7.73,11.25,22.73,6.56,7.17,9.06,0.0,15.08,8.63,6.02,7.65,6.95,3.96,0.93,5.66,8.99,22.63,1.8,6.67,3.76,1.61,3.73,2.11,-6.54,-5.02,3.77,2.65,3.74,1.67,1.9,2.12,1.57,3.2,1.77,-4.13,2.13,2.14,0.48,1.64,2.49,1.31,1.15,0.84,0.46,0.95,4.97,0.64,0.18,0.35,0.38,0.52,0.26,0.06,0.17,0.23,0.22,0.21,0.21,0.29,0.11,0.1,0.09,0.14,0.12,0.24,0.04,0.03,-6.25,0.08,0.01,0.01,-1.47,52.07
26486.63,3476.08,5192.68,992.51,1001.39,1109.5,723.05,1418.33,815.01,324.45,826.9,368.58,401.82,266.91,322.01,337.79,382.28,165.15,519.27,240.01,408.76,215.84,149.6,304.82,127.57,86.61,293.62,119.94,109.37,212.28,98.12,79.36,232.75,132.1,279.72,136.86,168.66,78.01,75.33,92.36,131.21,113.78,50.03,23.43,111.58,107.84,27.6,65.12,53.37,55.66,26.94,39.75,95.52,52.08,33.75,49.24,61.07,50.5,43.6,63.2,60.08,90.9,48.21,66.19,45.34,38.4,58.0,35.65,41.32,1.95,14.12,47.55,29.35,19.38,5.78,27.13,32.96,41.23,41.92,53.96,29.68,17.22,36.32,12.6,17.48,41.32,16.84,13.28,20.43,27.7,16.87,13.69,17.21,18.93,13.89,17.39,15.71,8.76,24.19,72.9,14.9,42.49,12.83,11.6,17.92,13.46,16.15,10.3,12.72,11.49,-1.35,12.69,13.88,9.81,4.0,14.21,10.95,11.79,23.14,19.45,4.92,7.49,11.31,22.54,7.86,7.16,9.05,-0.56,15.14,9.33,6.18,7.82,7.02,4.96,1.22,5.66,8.43,20.08,1.78,6.85,3.76,1.4,3.24,2.63,-6.54,-5.44,3.88,2.7,3.74,1.89,1.93,2.29,1.66,3.19,1.8,-4.13,2.28,2.22,0.61,1.64,2.32,1.37,1.14,0.83,0.63,0.94,5.07,0.54,0.22,0.39,0.4,0.53,0.26,0.07,0.17,0.24,0.22,0.23,0.23,0.26,0.12,0.1,0.08,0.11,0.11,0.25,0.04,0.04,-6.21,0.08,0.01,0.01,-1.62,53.28
